periode_data,wilayah,kecamatan,tenaga_kesehatan,jumlah
2019,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,DOKTER,17
2019,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,DOKTER,21
2019,JAKARTA SELATAN,CILANDAK,DOKTER,640
2019,JAKARTA SELATAN,JAGAKARSA,DOKTER,262
2019,JAKARTA SELATAN,KEBAYORAN BARU,DOKTER,507
2019,JAKARTA SELATAN,KEBAYORAN LAMA,DOKTER,382
2019,JAKARTA SELATAN,MAMPANG PRAPATAN,DOKTER,175
2019,JAKARTA SELATAN,PANCORAN,DOKTER,312
2019,JAKARTA SELATAN,PASAR MINGGU,DOKTER,346
2019,JAKARTA SELATAN,PESANGGRAHAN,DOKTER,278
2019,JAKARTA SELATAN,SETIABUDI,DOKTER,590
2019,JAKARTA SELATAN,TEBET,DOKTER,158
2019,JAKARTA TIMUR,JATINEGARA,DOKTER,373
2019,JAKARTA TIMUR,MATRAMAN,DOKTER,231
2019,JAKARTA TIMUR,PULOGADUNG,DOKTER,296
2019,JAKARTA TIMUR,CAKUNG,DOKTER,185
2019,JAKARTA TIMUR,DUREN SAWIT,DOKTER,262
2019,JAKARTA TIMUR,KRAMAT JATI,DOKTER,294
2019,JAKARTA TIMUR,MAKASAR,DOKTER,341
2019,JAKARTA TIMUR,CIPAYUNG,DOKTER,194
2019,JAKARTA TIMUR,PASAR REBO,DOKTER,291
2019,JAKARTA TIMUR,CIRACAS,DOKTER,252
2019,JAKARTA PUSAT,CEMPAKA PUTIH,DOKTER,502
2019,JAKARTA PUSAT,JOHAR BARU,DOKTER,76
2019,JAKARTA PUSAT,MENTENG,DOKTER,514
2019,JAKARTA PUSAT,TANAH ABANG,DOKTER,468
2019,JAKARTA PUSAT,KEMAYORAN,DOKTER,493
2019,JAKARTA PUSAT,SENEN,DOKTER,1498
2019,JAKARTA PUSAT,SAWAH BESAR,DOKTER,296
2019,JAKARTA PUSAT,GAMBIR,DOKTER,444
2019,JAKARTA BARAT,KEMBANGAN,DOKTER,47
2019,JAKARTA BARAT,KEBON JERUK,DOKTER,57
2019,JAKARTA BARAT,PALMERAH,DOKTER,40
