Kabupaten/Kota,Population (Thousand),Population Growth Rate,Percentage of Total Population,Population Density per sq.km (Km2),Population Sex Ratio
Kepulauan Seribu,28.8,1,0.27,2686,100
Kota Jakarta Selatan,2230.7,0.05,20.88,15390,100.7
Kota Jakarta Timur,3086,0.43,28.88,16633,100.5
Kota Jakarta Pusat,1044.3,-0.32,9.77,21955,102.7
Kota Jakarta Barat,2479.6,0.49,23.21,19837,101.1
Kota Jakarta Utara,1815.6,0.54,16.99,12333,101.7
DKI Jakarta,10684.9,0.31,100,16165,101.1
,,,,,
Catatan,,,,,
Hasil Proyeksi Penduduk Indonesia 2020–2050 Hasil Sensus Penduduk 2020 (Pertengahan tahun/Juni),,,,,
Laju pertumbuhan penduduk dihitung berdasarkan penduduk tahun 2020 (September) dibandingkan dengan proyeksi penduduk tahun 2023 (Juni),,,,,
